Epoch 175: duration loss = 0.413 | prior loss = 1.924 | diffusion loss = 0.120
Epoch 176: duration loss = 0.413 | prior loss = 1.928 | diffusion loss = 0.122
Epoch 177: duration loss = 0.412 | prior loss = 1.928 | diffusion loss = 0.121
Epoch 178: duration loss = 0.413 | prior loss = 1.925 | diffusion loss = 0.119
Epoch 179: duration loss = 0.413 | prior loss = 1.927 | diffusion loss = 0.123
Epoch 180: duration loss = 0.412 | prior loss = 1.930 | diffusion loss = 0.119
Epoch 181: duration loss = 0.413 | prior loss = 1.926 | diffusion loss = 0.123
Epoch 182: duration loss = 0.412 | prior loss = 1.924 | diffusion loss = 0.124
Epoch 183: duration loss = 0.412 | prior loss = 1.930 | diffusion loss = 0.125
Epoch 184: duration loss = 0.414 | prior loss = 1.926 | diffusion loss = 0.121
Epoch 185: duration loss = 0.414 | prior loss = 1.930 | diffusion loss = 0.121
Epoch 186: duration loss = 0.413 | prior loss = 1.926 | diffusion loss = 0.121
Epoch 187: duration loss = 0.412 | prior loss = 1.924 | diffusion loss = 0.125
Epoch 188: duration loss = 0.413 | prior loss = 1.928 | diffusion loss = 0.121
Epoch 189: duration loss = 0.412 | prior loss = 1.928 | diffusion loss = 0.120
Epoch 190: duration loss = 0.412 | prior loss = 1.923 | diffusion loss = 0.122
Epoch 191: duration loss = 0.412 | prior loss = 1.931 | diffusion loss = 0.121
Epoch 192: duration loss = 0.412 | prior loss = 1.927 | diffusion loss = 0.122
Epoch 193: duration loss = 0.413 | prior loss = 1.925 | diffusion loss = 0.123
Epoch 194: duration loss = 0.412 | prior loss = 1.926 | diffusion loss = 0.122
Epoch 195: duration loss = 0.412 | prior loss = 1.930 | diffusion loss = 0.123
Epoch 196: duration loss = 0.413 | prior loss = 1.926 | diffusion loss = 0.120
Epoch 197: duration loss = 0.414 | prior loss = 1.922 | diffusion loss = 0.123
Epoch 198: duration loss = 0.412 | prior loss = 1.923 | diffusion loss = 0.125
Epoch 199: duration loss = 0.412 | prior loss = 1.926 | diffusion loss = 0.123
Epoch 200: duration loss = 0.412 | prior loss = 1.925 | diffusion loss = 0.120
Epoch 201: duration loss = 0.412 | prior loss = 1.923 | diffusion loss = 0.123
Epoch 202: duration loss = 0.413 | prior loss = 1.929 | diffusion loss = 0.121
Epoch 203: duration loss = 0.412 | prior loss = 1.924 | diffusion loss = 0.120
Epoch 204: duration loss = 0.412 | prior loss = 1.928 | diffusion loss = 0.120
Epoch 205: duration loss = 0.412 | prior loss = 1.926 | diffusion loss = 0.123
Epoch 206: duration loss = 0.411 | prior loss = 1.925 | diffusion loss = 0.124
Epoch 207: duration loss = 0.412 | prior loss = 1.928 | diffusion loss = 0.119
Epoch 208: duration loss = 0.412 | prior loss = 1.927 | diffusion loss = 0.121
Epoch 209: duration loss = 0.413 | prior loss = 1.927 | diffusion loss = 0.121
Epoch 210: duration loss = 0.412 | prior loss = 1.927 | diffusion loss = 0.119
Epoch 211: duration loss = 0.412 | prior loss = 1.929 | diffusion loss = 0.123
Epoch 212: duration loss = 0.412 | prior loss = 1.930 | diffusion loss = 0.120
Epoch 213: duration loss = 0.412 | prior loss = 1.926 | diffusion loss = 0.122
Epoch 214: duration loss = 0.413 | prior loss = 1.926 | diffusion loss = 0.121
Epoch 215: duration loss = 0.412 | prior loss = 1.930 | diffusion loss = 0.118
Epoch 216: duration loss = 0.412 | prior loss = 1.924 | diffusion loss = 0.122
Epoch 217: duration loss = 0.412 | prior loss = 1.928 | diffusion loss = 0.122
Epoch 218: duration loss = 0.411 | prior loss = 1.927 | diffusion loss = 0.126
Epoch 219: duration loss = 0.413 | prior loss = 1.928 | diffusion loss = 0.123
